timestamp,rel_time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,azimuth,pitch,roll
2.40E+12,16.749979,4.358862764,5.076363775,-0.652047969,-1.604743,1.7458528,-0.21777347,7.9151645,54.092197,-2.2232158
2.40E+12,16.754965,3.846262933,5.462224028,-1.024270627,-1.7825048,2.1398609,-0.08032878,8.191357,54.39096,-1.9901927
2.40E+12,16.759979,3.147108757,5.447955484,-1.290615161,-2.189952,2.4556782,0.01282817,8.491322,54.751915,-1.80022
2.40E+12,16.764958,2.417830204,5.134059808,-1.514217756,-2.7250698,2.552806,0.03634648,8.85431,55.201466,-1.7313539
2.40E+12,16.769987,1.63079539,4.385184381,-1.681164518,-2.994767,2.6028967,0.16646078,9.251097,55.687805,-1.7492951
2.40E+12,16.774946,0.904862131,3.613211871,-2.151300516,-3.5253034,2.303573,0.15760323,9.66743,56.439983,-1.8420967
2.40E+12,16.780006,0.243568649,2.772424436,-3.114899562,-3.780034,1.9034561,0.03604105,10.072367,57.19162,-1.9280009
2.40E+12,16.784944,-0.21384095,1.76433025,-3.663220937,-3.6911533,1.6520851,0.004886922,10.49775,58.073483,-2.171772
2.40E+12,16.790053,-0.310679949,0.345638862,-3.445333134,-3.472158,1.4291192,0.055588737,10.845366,58.993,-2.3442738
2.40E+12,16.794977,-0.46875135,-0.974114438,-2.92297465,-3.1673362,0.99112886,0.12156218,11.138095,59.994473,-2.605025
2.40E+12,16.80011,-0.772446059,-2.247819094,-1.708195841,-2.8026497,0.35430184,0.19394971,11.322338,60.913322,-2.8206909
2.40E+12,16.805092,-1.137711906,-3.491570746,-0.592956139,-2.4223862,-0.26939157,0.28802297,11.199651,60.967846,-3.2012901
2.40E+12,16.809991,-1.820066927,-4.749053557,0.211247893,-2.0137172,-0.7067711,0.34025195,10.983407,60.92961,-3.5144856
2.40E+12,16.815021,-2.566108394,-6.050243589,1.24734136,-1.4749341,-1.1194105,0.33414328,10.793886,61.43056,-3.6274228
2.40E+12,16.819997,-3.450321278,-7.369898089,2.949118049,-0.7272351,-1.7122552,0.33200526,10.442518,61.746338,-3.672199
